Shadow Percentage Shortest Path,Shadow Percentage Optimal Path
0.031086488299478826,0.09459618211432813
0.24518959567608004,0.2632594340444328
0.08699015538625796,0.1349573547043382
0.11803254914530142,0.1280539568028382
0.0,0.0
0.07335561640209128,0.07335561640209128
0.34354697908905907,0.34354697908905907
0.09863826289077077,0.09863826289077077
0.06289328935900072,0.17556646532948905
0.170995065669228,0.170995065669228
0.4339135910028835,0.56758447963307
0.05786320984563795,0.1801448926671465
0.007393618725884535,0.011108078933528567
0.014590509482568991,0.014590509482568991
0.15911170825365117,0.2396660563118295
0.09884259818636874,0.09998255953819826
0.03047122715904648,0.16910246398327847
0.05370837769883954,0.46395483911646745
0.4998486723761665,0.6374816343407615
0.07120641600113259,0.05204519983662743
0.07978856581609092,0.11122391107869023
0.008094812314876356,0.008272854402797595
0.04657147067946505,0.22152573645738743
0.05597761202336184,0.06382313340368803
0.015671800130658,0.08057271470583542
0.31814599654253833,0.31814599654253833
0.0,0.0
0.02616951939598561,0.02616951939598561
0.017759930193427614,0.017759930193427614
0.07571870384697338,0.07571870384697338
0.21094240325773975,0.21094240325773975
0.0784393295710157,0.20311659622945616
0.03265513424448629,0.03613912416203613
0.0697807049927167,0.12664855750278817
0.045090789928045216,0.0525436642566711
0.03184364708743193,0.08768392014421579
0.0,0.0
0.020552276904991142,0.020552276904991142
0.07068313041346082,0.1769066451440905
0.017514931701471337,0.017514931701471337
